SQL,database,question
SELECT Industry FROM Companies GROUP BY Industry ORDER BY COUNT(*) DESC,company_office,"Sort all the industries in descending order of the count of companies in each industry
"
"SELECT DISTINCT COUNT ( t3.paperid ) FROM venue AS t4 JOIN paper AS t3 ON t4.venueid  =  t3.venueid JOIN writes AS t2 ON t2.paperid  =  t3.paperid JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""David M. Blei"" AND t4.venuename  =  ""AISTATS"";",scholar,"How many papers David M. Blei has in AISTATS ?
"
SELECT avg(price) FROM products,manufactory_1,"Compute the average price of all the products.
"
"SELECT count(*) ,  T2.name FROM products AS T1 JOIN manufacturers AS T2 ON T1.Manufacturer  =  T2.code GROUP BY T2.name",manufactory_1,"Find the number of products for each manufacturer, showing the name of each company.
"
SELECT count(*) FROM player WHERE birth_country = 'USA' AND bats  =  'R';,baseball_1,"How many players born in USA are right-handed batters? That is, have the batter value 'R'.
"
"SELECT T3.Name ,  T2.Date FROM news_report AS T1 JOIN event AS T2 ON T1.Event_ID  =  T2.Event_ID JOIN journalist AS T3 ON T1.journalist_ID  =  T3.journalist_ID",news_report,"Show the names of journalists and the dates of the events they reported.
"
SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,student_assessment,"What is the name of the course with the most registered students?
"
"SELECT T1.Committee FROM election AS T1 JOIN party AS T2 ON T1.Party  =  T2.Party_ID WHERE T2.Party  =  ""Democratic""",election,"Which committees have delegates from the Democratic party?
"
"SELECT origin FROM Flight WHERE destination  =  ""Honolulu""",flight_1,"What are the origins of all flights that are headed to Honolulu?
"
"SELECT t2.text FROM tip AS t2 JOIN business AS t1 ON t2.business_id  =  t1.business_id WHERE t1.name  =  ""Vintner Grill"" AND t2.likes  >  9;",yelp,"Find all tips about "" Vintner Grill "" that received more than 9 likes
"
"SELECT DISTINCT COUNT ( DISTINCT t2.paperid ) FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid WHERE t1.authorname  =  ""Christopher D. Manning"";",scholar,"How many publications does Christopher D. Manning have ?
"
"SELECT traverse FROM river WHERE river_name  =  ""ohio"";",geo,"which states does the ohio river pass through
"
SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,farm,"Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?
"
SELECT t3.individual_last_name FROM organizations AS t1 JOIN organization_contact_individuals AS t2 ON t1.organization_id  =  t2.organization_id JOIN individuals AS t3 ON t2.individual_id  =  t3.individual_id WHERE t1.uk_vat_number  =  (SELECT max(uk_vat_number) FROM organizations) ORDER BY t2.date_contact_to ASC LIMIT 1,e_government,"What is the last name of the first individual contacted from the organization with the maximum UK Vat number across all organizations?
"
SELECT campus FROM degrees GROUP BY campus ORDER BY sum(degrees) DESC LIMIT 1,csu_1,"What campus has the most degrees  conferrred over its entire existence?
"
"SELECT T2.Name FROM Locations AS T1 JOIN Tourist_Attractions AS T2 ON T1.Location_ID  =  T2.Location_ID WHERE T1.Address  =  ""660 Shea Crescent"" OR T2.How_to_Get_There  =  ""walk""",cre_Theme_park,"What are the names of tourist attractions that can be reached by walk or is at address 660 Shea Crescent?
"
SELECT DISTINCT T1.bname FROM bank AS T1 JOIN loan AS T2 ON T1.branch_id  =  T2.branch_id,loan_1,"Find the name of bank branches that provided some loans.
"
SELECT Product_Name FROM PRODUCTS ORDER BY Product_Price DESC LIMIT 1,cre_Drama_Workshop_Groups,"What is the name of the most expensive product?
"
SELECT name FROM CLub WHERE Club_ID NOT IN (SELECT Club_ID FROM player),sports_competition,"What are the names of all clubs that do not have any players?
"
"SELECT traverse FROM river WHERE LENGTH  =  ( SELECT MAX ( LENGTH ) FROM river WHERE traverse  =  ""texas"" );",geo,"through which states does the longest river in texas run
"
"SELECT Date_of_ceremony FROM music_festival WHERE Category  =  ""Best Song"" AND RESULT  =  ""Awarded""",music_4,"Return the dates of ceremony corresponding to music festivals that had the category ""Best Song"" and result ""Awarded"".
"
"SELECT T3.name ,  T2.name FROM Office_locations AS T1 JOIN buildings AS T2 ON T1.building_id  =  T2.id JOIN Companies AS T3 ON T1.company_id  =  T3.id",company_office,"List the name of a building along with the name of a company whose office is in the building.
"
"SELECT Fname ,  Lname ,  Age FROM Student WHERE Sex  =  'F'",allergy_1,"What are the full names and ages for all female students whose sex is F?
"
SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' EXCEPT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',store_1,"Find the name of tracks which are in Movies playlist but not in music playlist.
"
"SELECT sum(total) FROM invoices WHERE billing_city  =  ""Chicago"" AND billing_state  =  ""IL"";",store_1,"What are the total amount of money in the invoices billed from Chicago, Illinois?
"
SELECT T1.city FROM city AS T1 JOIN temperature AS T2 ON T1.city_id  =  T2.city_id WHERE T2.Mar  <  T2.Dec EXCEPT SELECT T3.city FROM city AS T3 JOIN hosting_city AS T4 ON T3.city_id  =  T4.host_city,city_record,"Which cities have lower temperature in March than in Dec and have never served as host cities?
"
"SELECT border FROM border_info WHERE state_name  =  ""kentucky"";",geo,"what states border kentucky
"
"SELECT T2.Name ,  T1.Elimination_Move FROM elimination AS T1 JOIN wrestler AS T2 ON T1.Wrestler_ID  =  T2.Wrestler_ID",wrestler,"What are the names of wrestlers and the elimination moves?
"
"SELECT COUNT ( DISTINCT name  ) FROM actor WHERE birth_city  =  ""Los Angeles"" AND birth_year  >  2000;",imdb,"How many actors were born in "" Los Angeles "" after 2000 ?
"
SELECT name FROM Person ORDER BY age DESC,network_2,"Find the names of all person sorted in the descending order using age.
"
"SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",product_catalog,"What are the name and level of catalog structure with level number between 5 and 10
"
"SELECT T2.Store_Name FROM Bookings AS T1 JOIN Drama_Workshop_Groups AS T2 ON T1.Workshop_Group_ID  =  T2.Workshop_Group_ID WHERE T1.Status_Code  =  ""stop""",cre_Drama_Workshop_Groups,"Which workshop groups have bookings with status code ""stop""? Give me the names.
"
"SELECT T1.first_name ,  T1.job_id FROM employees AS T1 JOIN departments AS T2 ON T1.department_id  =  T2.department_id WHERE T2.department_name  =  'Finance'",hr_1,"What is the first name and job id for all employees in the Finance department?
"
SELECT border FROM border_info WHERE state_name  =  ( SELECT state_name FROM state WHERE population  =  ( SELECT MAX ( population ) FROM state ) );,geo,"what states border the most populous state
"
SELECT eid FROM Employee WHERE salary  >  100000,flight_1,"What is the id of every employee who has at least a salary of  100000?
"
"SELECT DISTINCT COUNT ( t3.paperid )  ,  t3.year FROM writes AS t2 JOIN author AS t1 ON t2.authorid  =  t1.authorid JOIN paper AS t3 ON t2.paperid  =  t3.paperid WHERE t1.authorname  =  ""jamie callan"" GROUP BY t3.year;",scholar,"How many papers does jamie callan publish each year ?
"
SELECT asset_acquired_date FROM Assets ORDER BY asset_acquired_date ASC LIMIT 1,assets_maintenance,"When was the first asset acquired?
"
SELECT DISTINCT last_name FROM Maintenance_Engineers,assets_maintenance,"What are all the distinct last names of all the engineers?
"
SELECT t3.customer_details FROM claim_headers AS t1 JOIN policies AS t2 ON t1.policy_id  =  t2.policy_id JOIN customers AS t3 ON t2.customer_id  =  t3.customer_id WHERE t1.amount_piad  =  (SELECT min(amount_piad) FROM claim_headers),insurance_and_eClaims,"Which customer made the smallest amount of claim in one claim? Return the customer details.
"
SELECT T1.campus FROM campuses AS t1 JOIN enrollments AS t2 ON t1.id  =  t2.campus WHERE t2.year  =  1956 AND totalenrollment_ay  >  400 AND FTE_AY  >  200,csu_1,"What campus had more than 400 total enrollment but more than 200 full time enrollment in year 1956?
"
"SELECT DISTINCT t3.paperid FROM paperkeyphrase AS t2 JOIN keyphrase AS t1 ON t2.keyphraseid  =  t1.keyphraseid JOIN paper AS t3 ON t3.paperid  =  t2.paperid WHERE t1.keyphrasename  =  ""Question Answering"";",scholar,"Fetch me some papers on Question Answering
"
"SELECT state_name FROM state WHERE area  =  ( SELECT MIN ( area ) FROM state WHERE state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" ) ) AND state_name IN ( SELECT traverse FROM river WHERE river_name  =  ""mississippi"" );",geo,"what is the smallest state that the mississippi river runs through
"
"SELECT max(T2.fastestlapspeed) ,  T1.name ,  T1.year FROM races AS T1 JOIN results AS T2 ON T1.raceid = T2.raceid WHERE T1.year > 2014 GROUP BY T1.name ORDER BY T1.year",formula_1,"For each race name, What is the maximum fastest lap speed for races after 2004 ordered by year?
"
"SELECT avg(rating) ,  max(rating) FROM review",epinions_1,"Find the average and maximum rating of all reviews.
"
SELECT T2.address FROM staff AS T1 JOIN address AS T2 ON T1.address_id  =  T2.address_id WHERE T1.first_name  =  'Elsa',sakila_1,"Where does the staff member with the first name Elsa live?
"
SELECT Name FROM ship WHERE Ship_ID NOT IN (SELECT Ship_ID FROM mission),ship_mission,"What are the names of the ships that are not involved in any missions?
"
SELECT T2.party_name FROM party_events AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id GROUP BY T1.party_id HAVING count(*)  >=  2,party_people,"Return the names of parties that have two or more events.
"
SELECT Name FROM people WHERE People_id NOT IN (SELECT Affirmative FROM debate_people),debate,"List the names of people that have not been on the affirmative side of debates.
"
SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',game_1,"What are the ids for all sporty students who are on scholarship?
"
SELECT count(*) FROM Aircraft,flight_1,"How many aircrafts exist in the database?
"
"SELECT T1.name ,  T1.salary FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1",flight_1,"What is the salaray and name of the employee that is certified to fly the most planes?
"
SELECT T2.school_name FROM budget AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id JOIN endowment AS T3 ON T2.school_id  =  T3.school_id GROUP BY T2.school_name HAVING sum(T1.budgeted)  >  100 OR sum(T3.amount)  >  10,school_finance,"Show the names of schools with a total budget amount greater than 100 or a total endowment greater than 10.
"
"SELECT avg(age) ,  max(age) ,  sex FROM student GROUP BY sex",dorm_1,"What is the average and oldest age for each gender of student?
"
"SELECT T4.instrument FROM Performance AS T1 JOIN Band AS T2 ON T1.bandmate  =  T2.id JOIN Songs AS T3 ON T3.SongId  =  T1.SongId JOIN Instruments AS T4 ON T4.songid  =  T3.songid AND T4.bandmateid  =  T2.id WHERE T2.lastname  =  ""Heilo"" AND T3.title  =  ""Le Pop""",music_2,"What instrument did the musician with last name ""Heilo"" use in the song ""Le Pop""?
"
SELECT Publisher FROM publication GROUP BY Publisher HAVING COUNT(*)  >  1,book_2,"Show publishers that have more than one publication.
"
SELECT name FROM airports WHERE country  =  'Cuba' OR country  =  'Argentina',flight_4,"Find the name of the airports located in Cuba or Argentina.
"
SELECT count(*) FROM authors,icfp_1,"Count the number of authors.
"
"SELECT T2.customer_first_name ,  T2.customer_last_name ,  T2.customer_phone FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.account_name  =  ""162""",customers_card_transactions,"Give the full name and phone of the customer who has the account name 162.
"
"SELECT COUNT ( DISTINCT t1.neighbourhood_name ) FROM neighbourhood AS t1 JOIN business AS t2 ON t1.business_id  =  t2.business_id WHERE t2.city  =  ""Madison"" AND t2.rating  =  5;",yelp,"How many neighbourhoods have a business with rating 5 in Madison ?
"
"SELECT max(T2.gradepoint) ,  min(T2.gradepoint) FROM ENROLLED_IN AS T1 JOIN GRADECONVERSION AS T2 JOIN STUDENT AS T3 ON T1.Grade  =  T2.lettergrade AND T1.StuID  =  T3.StuID WHERE T3.city_code  =  ""NYC""",college_3,"What is the maximum and minimum grade point of students who live in NYC?
"
SELECT Carrier FROM device WHERE Device_ID NOT IN (SELECT Device_ID FROM stock),device,"List the carriers of devices that have no devices in stock.
"
SELECT customer_details FROM customers EXCEPT SELECT t2.customer_details FROM policies AS t1 JOIN customers AS t2 ON t1.customer_id  =  t2.customer_id,insurance_and_eClaims,"Find the names of customers who have no policies associated.
"
"SELECT * FROM employees WHERE department_id  =  ""null""",hr_1,"What are all the employees without a department number?
"
"SELECT t2.title FROM publication AS t2 JOIN journal AS t1 ON t2.jid  =  t1.jid WHERE t1.name  =  ""PVLDB"" AND t2.citation_num  >  200;",academic,"return me the paper in PVLDB with more than 200 citations .
"
"SELECT count(*) FROM Rooms WHERE bedType  =  ""King"";",inn_1,"How many rooms have a king bed?
"
SELECT count(*) FROM track,race_track,"How many tracks do we have?
"
"SELECT DISTINCT t2.title FROM paperkeyphrase AS t5 JOIN keyphrase AS t3 ON t5.keyphraseid  =  t3.keyphraseid JOIN writes AS t4 ON t4.paperid  =  t5.paperid JOIN paper AS t2 ON t4.paperid  =  t2.paperid JOIN author AS t1 ON t4.authorid  =  t1.authorid JOIN venue AS t6 ON t6.venueid  =  t2.venueid WHERE t1.authorname LIKE ""Eric C. Kerrigan"" AND t3.keyphrasename  =  ""Liquid"" AND t6.venuename  =  ""Automatica"";",scholar,"What is the name of Eric C. Kerrigan 's Liquid Automatica paper ?
"
SELECT T2.name FROM advisor AS T1 JOIN instructor AS T2 ON T1.i_id  =  T2.id JOIN student AS T3 ON T1.s_id  =  T3.id ORDER BY T3.tot_cred DESC LIMIT 1,college_2,"Find the name of instructor who is the advisor of the student who has the highest number of total credits.
"
SELECT sum(Num_of_Audience) FROM festival_detail,entertainment_awards,"What are the total number of the audiences who visited any of the festivals?
"
"SELECT minister ,  took_office ,  left_office FROM party ORDER BY left_office",party_people,"Who are the ministers, when did they take office, and when did they leave office, ordered by when they left office?
"
"SELECT document_type_code FROM documents WHERE document_name  =  ""David CV""",document_management,"Return the type code of the document named ""David CV"".
"
SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,bike_1,"What is the zip code in which the average mean sea level pressure is the lowest?
"
SELECT T1.state_province_county FROM Addresses AS T1 JOIN Staff AS T2 ON T1.address_id = T2.staff_address_id GROUP BY T1.state_province_county HAVING count(*) BETWEEN 2 AND 4;,driving_school,"List the states which have between 2 to 4 staffs living there.
"
